CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PVEM,PT,CONV,NVA_ALIANZA,PSD,PRIMERO_MEXICO,SALVEMOS_MEXICO,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
3,23,QUINTANA ROO,3,CANCUN,1,BENITO JUAREZ,168,7,381.0,647.0,177.0,157.0,56.0,21.0,65.0,26.0,61.0,2.0,9.0,149.0,1751.0,5062
3,23,QUINTANA ROO,3,CANCUN,1,BENITO JUAREZ,169,2,95.0,82.0,10.0,11.0,2.0,0.0,6.0,3.0,4.0,0.0,2.0,26.0,241.0,779
3,23,QUINTANA ROO,3,CANCUN,1,BENITO JUAREZ,170,3,173.0,149.0,27.0,48.0,13.0,5.0,6.0,6.0,1.0,0.0,0.0,75.0,503.0,1791
3,23,QUINTANA ROO,3,CANCUN,1,BENITO JUAREZ,173,4,98.0,467.0,107.0,45.0,38.0,8.0,17.0,4.0,15.0,2.0,0.0,38.0,839.0,2731
3,23,QUINTANA ROO,3,CANCUN,1,BENITO JUAREZ,174,3,82.0,372.0,66.0,50.0,25.0,9.0,8.0,3.0,19.0,0.0,0.0,45.0,679.0,2120
3,23,QUINTANA ROO,3,CANCUN,1,BENITO JUAREZ,175,7,277.0,718.0,127.0,89.0,37.0,18.0,36.0,17.0,24.0,3.0,4.0,121.0,1471.0,4685
3,23,QUINTANA ROO,3,CANCUN,1,BENITO JUAREZ,642,2,61.0,50.0,18.0,41.0,6.0,3.0,8.0,11.0,5.0,1.0,3.0,31.0,238.0,781
3,23,QUINTANA ROO,3,CANCUN,1,BENITO JUAREZ,643,1,26.0,90.0,20.0,17.0,5.0,1.0,3.0,5.0,10.0,0.0,0.0,17.0,194.0,675
3,23,QUINTANA ROO,3,CANCUN,1,BENITO JUAREZ,644,1,50.0,88.0,22.0,23.0,13.0,3.0,8.0,3.0,10.0,1.0,1.0,25.0,247.0,713
3,23,QUINTANA ROO,3,CANCUN,1,BENITO JUAREZ,645,1,24.0,69.0,26.0,25.0,8.0,3.0,9.0,4.0,13.0,2.0,1.0,9.0,193.0,740
3,23,QUINTANA ROO,3,CANCUN,1,BENITO JUAREZ,646,1,33.0,71.0,10.0,14.0,9.0,2.0,3.0,1.0,7.0,1.0,0.0,17.0,168.0,538
3,23,QUINTANA ROO,3,CANCUN,1,BENITO JUAREZ,647,1,95.0,60.0,18.0,21.0,6.0,4.0,11.0,4.0,4.0,1.0,1.0,40.0,265.0,735
3,23,QUINTANA ROO,3,CANCUN,1,BENITO JUAREZ,648,1,65.0,47.0,14.0,21.0,12.0,2.0,11.0,3.0,2.0,0.0,3.0,29.0,209.0,670
3,23,QUINTANA ROO,3,CANCUN,1,BENITO JUAREZ,649,1,43.0,72.0,20.0,14.0,2.0,4.0,7.0,4.0,4.0,0.0,2.0,22.0,194.0,570
3,23,QUINTANA ROO,3,CANCUN,1,BENITO JUAREZ,650,1,86.0,55.0,23.0,22.0,3.0,6.0,5.0,3.0,5.0,0.0,2.0,25.0,235.0,585
