CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,PH,ES,PAN_NVA_ALIANZA,PRI_PVEM,PRD_PT,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
3,23,QUINTANA ROO,1,SOLIDARIDAD,6,LAZARO CARDENAS,292,3,48.0,472.0,56.0,70.0,21.0,6.0,42.0,59.0,7.0,42.0,,24.0,0.0,0.0,43.0,890.0,1355
3,23,QUINTANA ROO,1,SOLIDARIDAD,6,LAZARO CARDENAS,293,3,67.0,435.0,18.0,28.0,14.0,7.0,29.0,92.0,23.0,211.0,,16.0,0.0,1.0,39.0,980.0,1667
3,23,QUINTANA ROO,1,SOLIDARIDAD,6,LAZARO CARDENAS,294,2,14.0,268.0,19.0,35.0,42.0,4.0,52.0,24.0,4.0,44.0,,14.0,0.0,0.0,29.0,549.0,822
3,23,QUINTANA ROO,1,SOLIDARIDAD,6,LAZARO CARDENAS,295,2,32.0,321.0,28.0,31.0,20.0,3.0,13.0,25.0,18.0,20.0,,24.0,0.0,0.0,31.0,566.0,892
3,23,QUINTANA ROO,1,SOLIDARIDAD,6,LAZARO CARDENAS,296,3,62.0,360.0,37.0,43.0,30.0,11.0,30.0,23.0,10.0,91.0,,45.0,0.0,0.0,29.0,771.0,1117
3,23,QUINTANA ROO,1,SOLIDARIDAD,6,LAZARO CARDENAS,297,1,5.0,270.0,6.0,13.0,4.0,2.0,6.0,46.0,3.0,8.0,,8.0,0.0,0.0,10.0,381.0,491
3,23,QUINTANA ROO,1,SOLIDARIDAD,1,BENITO JUAREZ,451,2,14.0,36.0,9.0,32.0,12.0,8.0,6.0,40.0,8.0,6.0,,1.0,0.0,0.0,9.0,181.0,862
3,23,QUINTANA ROO,1,SOLIDARIDAD,1,BENITO JUAREZ,452,2,10.0,75.0,19.0,67.0,5.0,8.0,8.0,35.0,2.0,6.0,,13.0,0.0,0.0,9.0,257.0,800
3,23,QUINTANA ROO,1,SOLIDARIDAD,1,BENITO JUAREZ,453,2,15.0,95.0,15.0,74.0,7.0,17.0,6.0,45.0,8.0,15.0,,12.0,0.0,1.0,25.0,335.0,898
3,23,QUINTANA ROO,1,SOLIDARIDAD,1,BENITO JUAREZ,454,2,27.0,84.0,31.0,114.0,12.0,15.0,12.0,57.0,10.0,10.0,,26.0,0.0,0.0,28.0,426.0,976
3,23,QUINTANA ROO,1,SOLIDARIDAD,1,BENITO JUAREZ,455,1,15.0,44.0,16.0,44.0,13.0,6.0,13.0,36.0,10.0,5.0,,4.0,0.0,0.0,10.0,216.0,730
3,23,QUINTANA ROO,1,SOLIDARIDAD,1,BENITO JUAREZ,456,1,13.0,43.0,17.0,45.0,9.0,19.0,7.0,30.0,8.0,5.0,,5.0,0.0,1.0,8.0,210.0,506
